stdio    D C:\LIBS5303Build\allegro5\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Kirk\CodeBlock Projects\Breakout\bin\Release\allegro5.cfg r
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09827] added dtor for sub_bitmap 029E39E0, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09827] added dtor for sub_bitmap 029E3B30, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09828] added dtor for sub_bitmap 029E3C80, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09829] added dtor for sub_bitmap 029E3DD0, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09830] added dtor for sub_bitmap 029E4328, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09831] added dtor for sub_bitmap 029E4478, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09831] added dtor for sub_bitmap 029E45C8, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09832] added dtor for sub_bitmap 029E4718, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09833] added dtor for sub_bitmap 029E4868, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09834] added dtor for sub_bitmap 029E49B8, func 0043BD73
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.09836] added dtor for sub_bitmap 029E5748, func 0043BD73
