display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06983] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06983] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06984] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06984] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06985] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06986] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06986] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06987] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06987] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06988] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06989] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06990] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06990] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06991] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06992] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06993] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06996] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06996] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06997] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06998] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.06998] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06999] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07000] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07000] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07001] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07001] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07002] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07002] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07003] Single Buffer requirement not met.
